Recording,Cluster
G04_20180512_050000,2
G04_20180512_051500,2
G04_20180512_053000,2
G04_20180512_060000,1
G04_20180512_054500,1
G04_20180512_063000,1
G04_20180512_061500,1
G04_20180512_064500,1
G04_20180512_070000,1
G04_20180512_073000,1
G04_20180512_071500,2
G04_20180512_170000,1
G04_20180512_074500,1
G04_20180512_173000,3
G04_20180512_171500,2
G04_20180512_180000,2
G04_20180512_184500,1
G04_20180512_183000,1
G04_20180512_190000,2
G04_20180512_191500,2
G04_20180513_050000,2
G04_20180512_193000,1
G04_20180513_053000,1
G04_20180513_051500,1
G04_20180513_054500,1
G04_20180513_060000,2
G04_20180513_063000,2
G04_20180513_061500,2
G04_20180513_064500,1
G04_20180513_070000,2
G04_20180513_071500,1
G04_20180513_074500,1
G04_20180513_073000,1
G04_20180513_171500,1
G04_20180513_170000,2
G04_20180513_173000,1
G04_20180513_174500,2
G04_20180513_181500,1
G04_20180513_180000,1
G04_20180513_184500,1
G04_20180513_183000,1
G04_20180513_193000,1
G04_20180513_194500,1
G04_20180514_050000,2
G04_20180514_051500,1
G04_20180514_053000,1
G04_20180514_054500,1
G04_20180514_060000,1
G04_20180514_061500,2
G04_20180514_063000,1
G04_20180514_070000,2
G04_20180514_064500,1
G04_20180514_071500,1
G04_20180514_073000,1
G04_20180514_074500,2
G04_20180514_170000,1
G04_20180514_174500,1
G04_20180514_171500,1
G04_20180514_180000,1
G04_20180514_183000,2
G04_20180514_184500,1
G04_20180514_190000,1
G04_20180514_191500,1
G04_20180514_193000,1
G04_20180514_194500,2
G04_20180515_051500,1
G04_20180515_050000,2
G04_20180515_053000,1
G04_20180515_054500,2
G04_20180515_061500,1
G04_20180515_060000,1
G04_20180515_064500,2
G04_20180515_063000,1
G04_20180515_071500,2
G04_20180515_070000,2
G04_20180515_074500,1
G04_20180515_073000,1
G04_20180516_170000,1
G04_20180516_171500,2
G04_20180516_173000,2
G04_20180516_174500,1
G04_20180516_183000,1
G04_20180516_180000,1
G04_20180516_184500,1
G04_20180516_190000,1
G04_20180516_191500,2
G04_20180516_193000,2
G04_20180516_194500,2
G04_20180517_051500,1
G04_20180517_050000,1
G04_20180517_054500,1
G04_20180517_053000,1
G04_20180517_061500,1
G04_20180517_060000,1
G04_20180517_064500,1
G04_20180517_063000,1
G04_20180517_070000,1
G04_20180517_071500,1
G04_20180517_073000,2
G04_20180517_074500,1
G06_20180517_160000,2
G06_20180517_161600,1
G06_20180517_163200,1
G06_20180517_164800,1
G06_20180517_200000,1
G06_20180517_201600,1
G06_20180517_203200,2
G06_20180517_204800,2
G06_20180517_210400,1
G06_20180517_212000,1
G06_20180517_213600,1
G06_20180517_215200,1
G06_20180517_220800,1
G06_20180517_222400,1
G06_20180517_224000,1
G06_20180517_225600,1
G06_20180517_231200,2
G06_20180517_232800,1
G06_20180517_234400,1
G06_20180518_000000,3
G06_20180518_001600,1
G06_20180518_003200,2
G06_20180518_004800,1
G06_20180518_010400,1
G06_20180518_012000,1
G06_20180518_013600,1
G06_20180518_015200,1
G06_20180518_020800,1
G06_20180518_022400,1
G06_20180518_024000,1
G06_20180518_025600,1
G06_20180518_031200,2
G06_20180518_032800,1
G06_20180518_034400,2
G06_20180518_040000,1
G06_20180518_041600,2
G06_20180518_043200,2
G06_20180518_044800,1
G06_20180518_080000,1
G06_20180518_081600,1
G06_20180518_083200,1
G06_20180518_084800,2
G06_20180518_090400,1
G06_20180518_092000,2
G06_20180518_093600,1
G06_20180518_095200,1
G06_20180518_100800,1
G06_20180518_102400,2
G06_20180518_104000,1
G06_20180518_105600,1
G06_20180518_111200,2
G06_20180518_112800,1
G06_20180518_114400,1
G06_20180518_120000,1
G06_20180518_121600,1
G06_20180518_123200,1
G06_20180518_124800,2
G06_20180518_130400,1
G06_20180518_132000,1
G06_20180518_133600,2
G06_20180518_135200,2
G06_20180518_140800,1
G06_20180518_142400,2
G06_20180518_144000,1
G06_20180518_145600,1
G06_20180518_151200,1
G06_20180518_152800,2
G06_20180518_154400,1
G06_20180518_160000,1
G06_20180518_161600,1
G06_20180518_163200,1
G06_20180518_164800,1
G06_20180518_200000,1
G06_20180518_201600,1
G06_20180518_203200,1
G06_20180518_204800,2
G06_20180518_210400,2
G06_20180518_212000,1
G06_20180518_213600,1
G06_20180518_215200,1
G06_20180518_220800,1
G06_20180518_222400,1
G06_20180518_224000,1
G06_20180518_225600,2
G06_20180518_231200,1
G06_20180518_232800,2
G06_20180518_234400,1
G06_20180519_000000,1
G06_20180519_001600,1
G06_20180519_003200,1
G06_20180519_004800,1
G06_20180519_010400,1
G06_20180519_012000,1
G06_20180519_013600,1
G06_20180519_015200,1
G06_20180519_020800,1
G06_20180519_022400,2
G06_20180519_024000,1
G06_20180519_025600,1
G06_20180519_031200,2
G06_20180519_032800,1
G06_20180519_034400,1
G06_20180519_040000,2
G06_20180519_041600,2
G06_20180519_043200,1
G06_20180519_044800,2
G06_20180519_080000,2
G06_20180519_081600,1
G06_20180519_083200,2
G06_20180519_084800,2
G06_20180519_090400,1
G06_20180519_092000,1
G06_20180519_093600,1
G06_20180519_095200,2
G06_20180519_100800,1
G06_20180519_102400,1
G06_20180519_104000,1
G06_20180519_105600,2
G06_20180519_111200,1
G06_20180519_112800,1
G06_20180519_114400,1
G06_20180519_120000,2
G06_20180519_121600,1
G06_20180519_123200,1
G06_20180519_124800,2
G06_20180519_130400,1
G06_20180519_132000,1
G06_20180519_133600,2
G06_20180519_135200,1
G06_20180519_140800,1
G06_20180519_142400,1
G06_20180519_144000,2
G06_20180519_145600,1
G06_20180519_151200,1
G06_20180519_152800,2
G06_20180519_154400,1
G06_20180519_160000,2
G06_20180519_161600,1
G06_20180519_163200,1
G06_20180519_164800,1
G06_20180519_200000,1
G06_20180519_201600,2
G06_20180519_203200,1
G06_20180519_204800,1
G06_20180519_210400,2
G06_20180519_212000,1
G06_20180519_213600,1
G06_20180519_215200,1
G06_20180519_220800,2
G06_20180519_222400,1
G06_20180519_224000,1
G06_20180519_225600,1
G06_20180519_231200,1
G06_20180519_232800,1
G06_20180519_234400,1
G06_20180520_000000,1
G06_20180520_001600,1
G06_20180520_003200,1
G06_20180520_004800,3
G06_20180520_010400,2
G06_20180520_012000,2
G06_20180520_013600,2
G06_20180520_015200,2
G06_20180520_020800,2
G06_20180520_022400,1
G06_20180520_024000,1
G06_20180520_025600,1
G06_20180520_031200,1
G06_20180520_032800,2
G06_20180520_034400,1
G06_20180520_040000,2
G06_20180520_041600,1
G06_20180520_043200,2
G06_20180520_044800,2
G06_20180520_080000,2
G06_20180520_081600,1
G06_20180520_083200,1
G06_20180520_084800,2
G06_20180520_090400,1
